,city,lattitude,longitude,max_temp,humidity,cloudiness,wind_speed,country,date
0,Arraial do Cabo,-22.9661,-42.0278,73.36,88,75,16.11,BR,1630064268
1,Pevek,69.7008,170.3133,38.52,75,100,8.9,RU,1630064269
2,Poum,-20.2333,164.0167,73.94,78,56,14.07,NC,1630064269
3,Tasiilaq,65.6145,-37.6368,50.16,97,100,9.64,GL,1630064269
4,Vila Franca do Campo,37.7167,-25.4333,70.21,86,94,11.12,PT,1630064270
5,Punta Arenas,-53.15,-70.9167,35.71,93,75,8.05,CL,1630064270
6,Qaanaaq,77.484,-69.3632,38.73,84,100,2.48,GL,1630064270
7,Mataura,-46.1927,168.8643,42.48,98,100,1.57,NZ,1630064271
8,Grand Gaube,-20.0064,57.6608,70.38,87,75,14.0,MU,1630064271
9,Mahébourg,-20.4081,57.7,70.25,85,94,24.94,MU,1630064271
10,Faanui,-16.4833,-151.75,78.67,72,10,12.84,PF,1630064272
11,Tuktoyaktuk,69.4541,-133.0374,42.24,95,82,12.8,CA,1630064272
12,Ferrol,43.4832,-8.2369,82.65,74,6,5.21,ES,1630064273
13,Yellowknife,62.456,-114.3525,55.92,82,40,6.91,CA,1630064273
14,Bluff,-46.6,168.3333,42.8,86,100,10.65,NZ,1630064273
15,Cervo,43.6702,-7.4101,88.2,72,25,10.29,ES,1630064274
16,Penugonda,16.6667,81.7333,84.88,75,100,3.98,IN,1630064274
17,Severo-Kuril'sk,50.6789,156.125,54.03,97,100,12.93,RU,1630064274
18,Sørland,67.667,12.6934,59.07,80,4,10.45,NO,1630064275
19,Llanes,43.4198,-4.7549,74.95,65,24,9.91,ES,1630064275
20,Hambantota,6.1241,81.1185,86.34,70,40,17.27,LK,1630064275
21,Cape Town,-33.9258,18.4232,57.11,58,40,3.0,ZA,1630064114
22,Hilo,19.7297,-155.09,72.28,90,90,6.91,US,1630064276
23,Gatton,-27.55,152.2833,55.38,53,10,4.56,AU,1630064276
24,Barrow,71.2906,-156.7887,32.02,80,90,18.41,US,1630064277
25,Qaqortoq,60.7167,-46.0333,46.9,78,5,2.8,GL,1630064277
26,Avarua,-21.2078,-159.775,66.25,77,75,3.44,CK,1630064277
27,Fortuna,40.5982,-124.1573,56.86,75,90,1.01,US,1630064278
28,Fairbanks,64.8378,-147.7164,48.09,95,90,0.0,US,1630064278
29,Sitka,57.0531,-135.33,57.09,88,90,8.05,US,1630064278
30,Port Elizabeth,-33.918,25.5701,59.29,58,20,26.46,ZA,1630064179
31,Upernavik,72.7868,-56.1549,38.84,93,98,6.4,GL,1630064279
32,Ankang,32.68,109.0172,68.65,82,36,1.61,CN,1630064279
33,Amazar,53.858,120.875,55.38,70,100,6.26,RU,1630064279
34,Bom Jesus,-9.0744,-44.3586,85.41,39,19,8.37,BR,1630064280
35,Saldanha,-33.0117,17.9442,55.45,41,48,14.29,ZA,1630064280
36,Salalah,17.0151,54.0924,82.49,83,90,12.66,OM,1630064280
37,Saint Lawrence,36.0553,14.204,89.01,63,0,16.55,MT,1630064281
38,Paralímni,35.0375,33.9833,100.89,70,0,7.0,CY,1630064282
39,Atuona,-9.8,-139.0333,76.75,83,30,16.4,PF,1630064282
40,Busselton,-33.65,115.3333,54.05,71,90,5.53,AU,1630064282
41,Hofn,64.2539,-15.2082,55.42,88,90,8.05,IS,1630064282
42,Yulara,-25.2406,130.9889,71.44,17,63,5.75,AU,1630064283
43,Imbituba,-28.24,-48.6703,62.49,76,66,6.69,BR,1630064283
44,Jalingo,8.8833,11.3667,85.75,68,80,6.38,NG,1630064283
45,Butaritari,3.0707,172.7902,83.23,73,51,12.35,KI,1630064284
46,Dawson Creek,55.7666,-120.2362,55.04,67,1,0.0,CA,1630064258
47,New Norfolk,-42.7826,147.0587,47.7,77,100,1.12,AU,1630064284
48,Ixtapa,20.7,-105.2,79.23,92,46,1.86,MX,1630063593
49,Vaini,-21.2,-175.2,66.36,77,75,9.22,TO,1630064285
50,Palauig,15.435,119.9045,82.76,69,57,1.39,PH,1630064285
51,Labuhan,-6.8844,112.2051,82.22,60,24,5.84,ID,1630064285
52,Kavieng,-2.5744,150.7967,82.02,78,96,12.3,PG,1630064286
53,Albany,42.6001,-73.9662,73.02,95,31,2.89,US,1630064177
54,Faya,18.3851,42.4509,90.12,41,57,8.75,SA,1630064286
55,Touros,-5.1989,-35.4608,77.9,55,8,17.58,BR,1630064156
56,Guerrero Negro,27.9769,-114.0611,72.84,80,0,4.27,MX,1630064287
57,Nanortalik,60.1432,-45.2371,42.87,85,31,20.09,GL,1630064287
58,Moerai,-22.4333,-151.3333,75.16,83,82,16.89,PF,1630064288
59,George Town,5.4112,100.3354,84.88,77,20,4.61,MY,1630064201
60,Hobart,-42.8794,147.3294,48.06,84,75,1.14,AU,1630064237
61,Kuytun,54.3419,101.5036,60.82,57,5,4.81,RU,1630064288
62,Tromsø,69.6496,18.957,63.25,55,40,25.32,NO,1630064288
63,Port Alfred,-33.5906,26.891,58.35,70,99,26.53,ZA,1630064289
64,Aswān,24.0934,32.907,106.9,18,0,11.5,EG,1630064289
65,San Quintín,30.4833,-115.95,71.49,83,39,9.86,MX,1630064289
66,Nikolskoye,59.7035,30.7861,59.02,75,100,8.86,RU,1630064290
67,Tiksi,71.6872,128.8694,36.05,98,100,17.96,RU,1630064290
68,Jamestown,42.097,-79.2353,70.3,98,75,1.01,US,1630064260
69,Marzuq,14.4,46.4667,93.74,27,18,10.6,YE,1630064291
70,Saint Paul Harbor,57.79,-152.4072,51.3,87,74,4.63,US,1630064199
71,Hermanus,-34.4187,19.2345,54.9,57,75,17.85,ZA,1630064291
72,Caravelas,-17.7125,-39.2481,78.49,61,18,10.31,BR,1630064291
73,North Battleford,52.7834,-108.2847,53.69,100,75,12.66,CA,1630064292
74,Cabo San Lucas,22.8909,-109.9124,82.81,84,63,10.27,MX,1630064292
75,Hong Kong,22.2855,114.1577,80.58,83,58,15.57,HK,1630064292
76,Rikitea,-23.1203,-134.9692,71.83,77,11,14.03,PF,1630064293
77,Ribeira Grande,38.5167,-28.7,68.4,94,75,6.91,PT,1630064293
78,Bethel,41.3712,-73.414,76.57,93,1,0.0,US,1630064293
79,Kaitangata,-46.2817,169.8464,45.72,95,100,8.25,NZ,1630064294
80,Mosjøen,65.836,13.1908,64.4,51,0,4.61,NO,1630064232
81,Saskylakh,71.9167,114.0833,38.3,80,100,4.97,RU,1630064294
82,Nkowakowa,-23.8878,30.2871,77.05,14,0,8.79,ZA,1630064295
83,Rexburg,43.826,-111.7897,54.43,58,1,0.0,US,1630064212
84,Kilindoni,-7.9139,39.6668,78.22,65,43,9.75,TZ,1630064295
85,Qasigiannguit,68.8193,-51.1922,43.05,95,100,5.5,GL,1630064296
86,Naranjal,-2.6667,-79.6167,71.4,88,99,1.16,EC,1630064296
87,Lydenburg,-25.0978,30.4597,82.27,20,3,11.12,ZA,1630064296
88,Hithadhoo,-0.6,73.0833,83.07,71,19,10.2,MV,1630064297
89,Savage,44.7791,-93.3363,70.5,95,90,1.99,US,1630064014
90,Lavrentiya,65.5833,-171.0,38.19,75,10,8.28,RU,1630064297
91,Scottsbluff,41.8666,-103.6672,63.79,63,1,3.0,US,1630064298
92,Effingham County,32.3669,-81.3332,83.84,98,99,3.67,US,1630064299
93,Carnarvon,-24.8667,113.6333,64.47,63,0,13.8,AU,1630064299
94,São João de Pirabas,-0.7747,-47.1772,83.1,71,92,9.84,BR,1630064299
95,Aksu,41.1231,80.2644,87.98,18,64,1.66,CN,1630064300
96,Urusha,54.05,122.9,54.91,66,100,7.23,RU,1630064300
97,Ushuaia,-54.8,-68.3,31.66,80,0,0.0,AR,1630064300
98,Kongoussi,13.3258,-1.5347,87.71,48,91,3.36,BF,1630064301
99,Bengkulu,-3.8004,102.2655,77.99,86,53,8.86,ID,1630064301
100,Usinsk,65.9939,57.5281,51.08,60,93,14.41,RU,1630064301
101,Leningradskiy,69.3833,178.4167,31.86,92,87,7.61,RU,1630064302
102,Chapais,49.7834,-74.8492,49.78,77,78,6.76,CA,1630064302
103,Fairlie,55.756,-4.8556,69.21,73,3,1.99,GB,1630064303
104,Clyde River,70.4692,-68.5914,36.28,96,100,2.8,CA,1630064062
105,Muros,42.7762,-9.0603,82.9,75,4,5.97,ES,1630064303
106,Kruisfontein,-34.0033,24.7314,52.88,72,99,26.24,ZA,1630064303
107,Muroto-misakicho,33.2833,134.15,82.44,85,7,5.06,JP,1630064304
108,Zhangye,38.9342,100.4517,73.65,27,75,11.3,CN,1630064304
109,Nyurba,63.2842,118.3319,44.96,58,100,7.0,RU,1630064304
110,Houma,29.5958,-90.7195,77.0,97,1,6.91,US,1630064305
111,Saint-Philippe,-21.3585,55.7679,74.75,86,82,19.51,RE,1630064305
112,Westport,41.1415,-73.3579,79.81,91,1,3.44,US,1630064236
113,Vanavara,60.34,102.2797,59.72,51,72,2.95,RU,1630064306
114,Chara,56.9064,118.2631,50.7,79,48,4.38,RU,1630064306
115,Santa Isabel,-23.3156,-46.2214,64.11,90,100,6.24,BR,1630064306
116,Tessalit,20.1986,1.0114,104.13,15,47,5.99,ML,1630064307
117,Beisfjord,68.3751,17.5988,61.05,53,1,5.12,NO,1630064307
118,Atar,20.5169,-13.0499,99.81,20,31,7.63,MR,1630064307
119,Castro,-24.7911,-50.0119,56.12,90,84,5.28,BR,1630064308
120,Ottawa,45.4112,-75.6981,64.8,75,75,3.0,CA,1630064136
121,Prince Rupert,54.3161,-130.3201,55.49,94,90,2.3,CA,1630064308
122,Kapaa,22.0752,-159.319,79.12,76,75,1.99,US,1630064308
123,Oyama,36.3,139.8,86.67,69,89,3.33,JP,1630064309
124,Chokurdakh,70.6333,147.9167,48.2,68,100,13.29,RU,1630064309
125,Sunndalsøra,62.6754,8.5515,65.05,45,0,1.59,NO,1630064309
126,Ola,59.5833,151.2833,53.33,98,100,1.52,RU,1630064310
127,Somanda,-3.3667,33.95,88.5,15,8,7.31,TZ,1630064310
128,Zhangjiakou,40.81,114.8794,63.19,53,46,6.91,CN,1630064107
129,Wuchi,29.3786,103.023,56.26,99,100,2.01,CN,1630064310
130,Iracoubo,5.4802,-53.2011,79.14,84,98,5.26,GF,1630064311
131,Cherskiy,68.75,161.3,49.17,58,100,5.61,RU,1630064311
132,Tura,25.5198,90.2201,74.12,97,100,2.91,IN,1630064311
133,Namatanai,-3.6667,152.4333,79.43,82,25,8.34,PG,1630064312
134,Ust-Kuyga,70.0167,135.6,40.12,91,100,9.69,RU,1630064312
135,Pasinler,39.9803,41.6764,86.99,19,1,4.76,TR,1630064313
136,Ukiah,39.1502,-123.2078,72.03,65,1,0.0,US,1630064086
137,Samarai,-10.6167,150.6667,80.04,87,92,12.88,PG,1630064313
138,Lebu,-37.6167,-73.65,46.67,86,100,12.06,CL,1630064315
139,West Bay,19.3667,-81.4167,81.05,88,75,5.01,KY,1630064315
140,Opuwo,-18.0607,13.84,84.54,16,1,12.39,NA,1630064315
141,Cockburn Town,21.4612,-71.1419,82.36,74,40,9.22,TC,1630064316
142,Naze,28.3667,129.4833,77.43,77,61,4.38,JP,1630064316
143,Giohar,2.7809,45.5005,90.52,38,5,22.62,SO,1630064316
144,Kuala Terengganu,5.3302,103.1408,80.29,81,84,2.71,MY,1630064317
145,Teguise,29.0605,-13.564,75.42,69,20,11.5,ES,1630064317
146,El Viejo,12.6633,-87.1672,73.63,93,84,2.33,NI,1630064317
147,Kloulklubed,7.0419,134.2556,77.5,75,93,8.19,PW,1630064318
148,Torbay,47.6666,-52.7314,61.57,84,16,3.0,CA,1630064136
149,East London,-33.0153,27.9116,63.54,63,20,29.93,ZA,1630064318
150,Pangnirtung,66.1451,-65.7125,41.0,93,90,4.61,CA,1630064318
151,South Kazakhstan Region,43.0,68.0,98.04,12,19,14.61,KZ,1630064319
152,Ilulissat,69.2167,-51.1,42.82,87,75,2.3,GL,1630064319
153,Huarmey,-10.0681,-78.1522,61.97,86,98,7.14,PE,1630064319
154,Manokwari,-0.8667,134.0833,79.25,79,98,4.0,ID,1630064320
155,Yumen,40.2833,97.2,76.44,17,13,17.92,CN,1630064320
156,Taicheng,38.731,113.228,62.67,80,75,5.03,CN,1630064321
157,Dikson,73.5069,80.5464,39.49,79,100,19.73,RU,1630064321
158,Tazovsky,67.4667,78.7,39.47,91,100,30.38,RU,1630064321
159,Askarovo,53.3372,58.5089,79.75,41,40,8.95,RU,1630064322
160,Grenå,56.4158,10.8783,66.94,76,82,22.21,DK,1630064322
161,Ulaangom,49.9811,92.0667,55.13,76,100,4.59,MN,1630064091
162,Ancud,-41.8697,-73.8203,44.42,92,100,17.96,CL,1630064322
163,Mugur-Aksy,50.35,90.5,41.22,98,100,3.85,RU,1630064323
164,Geraldton,-28.7667,114.6,54.01,82,28,8.05,AU,1630064323
165,Langarūd,37.197,50.1535,93.25,45,0,9.48,IR,1630064323
166,Talnakh,69.4865,88.3972,49.75,92,100,8.28,RU,1630064324
167,Mar del Plata,-38.0023,-57.5575,42.82,75,0,11.5,AR,1630064324
168,Bredasdorp,-34.5322,20.0403,51.28,62,75,24.16,ZA,1630064054
169,Thompson,55.7435,-97.8558,35.76,93,20,2.3,CA,1630064325
170,Krasnosel'kup,65.7,82.4667,46.6,73,100,24.87,RU,1630064325
171,Lüderitz,-26.6481,15.1594,56.59,63,90,17.4,NA,1630064325
172,Yatou,37.15,122.3833,70.74,84,100,6.98,CN,1630064326
173,Santiago del Estero,-27.7951,-64.2615,54.66,51,0,9.22,AR,1630064326
174,Pimenta Bueno,-11.6725,-61.1936,84.81,40,40,4.23,BR,1630064326
175,Tooele,40.5308,-112.2983,67.08,66,1,8.05,US,1630064218
176,Río Bueno,-40.3167,-72.9667,44.82,84,100,7.81,CL,1630064077
177,Cayenne,4.9333,-52.3333,82.44,85,0,1.99,GF,1630064327
178,Gushikawa,26.3544,127.8686,83.43,76,20,9.22,JP,1630064327
179,Pokaran,26.9167,71.9167,96.19,30,98,15.12,IN,1630064328
180,Kota Bharu,6.1333,102.2386,78.26,86,67,1.61,MY,1630064328
181,Cidreira,-30.1811,-50.2056,56.7,72,1,1.1,BR,1630064329
182,Norman Wells,65.282,-126.8329,51.84,93,75,3.44,CA,1630064329
183,Yokadouma,3.5167,15.05,88.34,50,41,2.95,CM,1630064329
184,Bela Vista,-22.1089,-56.5211,61.03,92,100,3.49,BR,1630064330
185,Yangliuqing,39.1375,116.9997,82.35,67,3,3.0,CN,1630064330
186,Yankton,42.8711,-97.3973,68.25,94,1,9.22,US,1630064330
187,Saint George,37.1041,-113.5841,66.79,30,1,0.0,US,1630064330
188,Gashua,12.871,11.0482,93.0,40,49,7.05,NG,1630064331
189,Portland,45.5234,-122.6762,61.66,82,8,0.92,US,1630064279
190,Saint-Augustin,51.226,-58.6502,63.63,96,100,12.39,CA,1630064331
191,Deputatsky,69.3,139.9,44.96,93,100,6.22,RU,1630064332
192,São Filipe,14.8961,-24.4956,79.11,82,58,8.99,CV,1630064332
193,Hoquiam,46.9809,-123.8893,57.99,1,20,3.6,US,1630064332
194,Ponta do Sol,32.6667,-17.1,81.72,72,47,4.29,PT,1630064333
195,Nouadhibou,20.931,-17.0347,79.41,60,18,12.48,MR,1630064333
196,Airai,-8.9266,125.4092,58.1,86,100,3.53,TL,1630064334
197,Saint-Pierre,-21.3393,55.4781,74.84,82,75,31.07,RE,1630064334
198,Soni,-4.85,38.3667,79.21,28,18,7.96,TZ,1630064334
199,Alindao,5.0267,21.2088,87.91,53,93,4.0,CF,1630064335
200,Kiryat Gat,31.61,34.7642,100.4,44,4,14.76,IL,1630064335
201,Shegaon,20.7833,76.6833,85.87,59,51,8.12,IN,1630064335
202,Huangcun,30.0145,118.4037,74.35,97,75,4.88,CN,1630064336
203,Aketi,2.7388,23.7833,95.83,35,89,2.1,CD,1630064336
204,Dingle,10.9995,122.6711,76.98,90,96,5.3,PH,1630064336
205,Tías,28.9611,-13.645,76.68,69,20,11.5,ES,1630064337
206,Ahipara,-35.1667,173.1667,58.6,95,99,13.8,NZ,1630064337
207,Basoko,1.2391,23.616,92.48,41,50,3.8,CD,1630064337
208,Kyshtovka,56.555,76.6271,81.41,49,6,3.85,RU,1630064338
209,Iskateley,67.6803,53.1512,50.86,61,100,14.41,RU,1630064338
210,Kapit,2.0167,112.9333,75.78,94,90,1.57,MY,1630064339
211,Āreka,7.0667,37.7,74.8,58,20,5.21,ET,1630064339
212,La Ronge,55.1001,-105.2842,53.85,76,40,8.05,CA,1630064339
213,Skjervøy,70.0311,20.9714,62.6,71,51,6.46,NO,1630064340
214,Beyneu,45.3167,55.2,95.72,18,66,13.65,KZ,1630064340
215,Kerema,-7.9631,145.7785,78.55,90,40,0.67,PG,1630064340
216,Daru,-9.0763,143.2092,78.3,89,97,15.08,PG,1630064341
217,Lieksa,63.3167,30.0167,62.24,50,6,6.46,FI,1630064341
218,Akşehir,38.3575,31.4164,91.98,16,0,8.03,TR,1630064341
219,Zatoka,46.0725,30.4654,75.74,70,98,7.02,UA,1630064342
220,Yate,51.5407,-2.4184,64.24,72,35,9.28,GB,1630064342
221,San Patricio,28.017,-97.5169,80.83,80,42,3.04,US,1630064342
222,Barinas,8.6226,-70.2075,73.09,78,23,3.53,VE,1630064343
223,Sibolga,1.7427,98.7792,78.39,84,39,0.54,ID,1630064343
224,Yugorsk,61.3133,63.3319,56.5,47,74,10.54,RU,1630064343
225,Kahului,20.8947,-156.47,75.22,81,90,18.41,US,1630064344
226,Vardø,70.3705,31.1107,61.0,58,0,14.97,NO,1630064344
227,Matamoros,25.5333,-103.25,70.11,65,5,5.3,MX,1630064344
228,Narsaq,60.9167,-46.05,46.62,78,19,2.51,GL,1630064345
229,Chui,-33.6971,-53.4616,50.16,63,1,9.95,UY,1630064345
230,Lompoc,34.6391,-120.4579,57.63,94,90,0.0,US,1630064345
231,Nome,64.5011,-165.4064,35.67,80,1,0.0,US,1630064346
232,Port Lincoln,-34.7333,135.8667,55.87,80,74,17.78,AU,1630064346
233,Gazojak,41.1875,61.4036,99.23,12,0,14.99,TM,1630064346
234,Rio Grande,-32.035,-52.0986,53.51,73,0,8.19,BR,1630064347
235,Mauá,-23.6678,-46.4614,60.6,94,100,7.05,BR,1630064347
236,Zhigansk,66.7697,123.3711,38.01,97,100,15.41,RU,1630064347
237,Shunyi,40.125,116.6453,73.35,60,0,4.47,CN,1630064348
238,Whitecourt,54.1502,-115.6855,47.16,93,100,3.36,CA,1630064348
239,Paamiut,61.994,-49.6678,43.07,80,47,8.57,GL,1630064348
240,Ostrovnoy,68.0531,39.5131,58.57,54,29,15.5,RU,1630064349
241,Goderich,43.7501,-81.7165,67.91,88,64,8.05,CA,1630064349
242,Martinho Campos,-19.3317,-45.2369,76.91,40,50,6.2,BR,1630064349
243,Trzcianka,53.0406,16.4563,64.45,56,92,5.73,PL,1630064350
244,West Wendover,40.7391,-114.0733,60.01,31,1,3.44,US,1630064350
245,Saint-Benoît,-21.038,55.7194,75.27,84,58,22.01,RE,1630064350
246,Barabai,-2.5833,115.3833,73.89,98,100,2.08,ID,1630064351
247,Iqaluit,63.7506,-68.5145,46.13,93,90,8.05,CA,1630064351
248,Kavaratti,10.5669,72.642,79.75,83,100,23.44,IN,1630064351
249,Simao,22.7886,100.9748,66.36,95,100,1.79,CN,1630064352
250,Nishihara,26.1842,127.7558,83.48,76,40,6.91,JP,1630064352
251,Kudat,6.8837,116.8477,78.73,89,40,2.3,MY,1630064352
252,Kondinskoye,59.6481,67.41,62.96,45,66,10.8,RU,1630064353
253,Barranca,-10.75,-77.7667,60.49,86,100,6.51,PE,1630064353
254,Havre-St-Pierre,50.2334,-63.5986,59.36,100,75,11.5,CA,1630064353
255,Coahuayana Viejo,18.7333,-103.6833,74.88,93,91,4.5,MX,1630064354
256,Kanniyākumāri,8.0833,77.5667,81.73,78,95,23.58,IN,1630064354
257,Mayor Pablo Lagerenza,-19.9309,-60.7718,64.47,50,76,2.39,PY,1630064354
258,Ketchikan,55.3422,-131.6461,55.87,100,90,3.44,US,1630064117
259,Getulio Vargas,-32.6796,-53.5494,51.03,68,0,8.88,UY,1630064355
260,Kelvington,52.1667,-103.5343,53.26,82,93,13.29,CA,1630064355
261,Puerto Ayora,-0.7393,-90.3518,67.55,91,76,7.0,EC,1630064355
262,Novogornyy,55.63,60.7919,71.19,65,100,7.87,RU,1630064356
263,Xining,36.6167,101.7667,59.68,46,21,13.96,CN,1630064356
264,Yenagoa,4.9247,6.2642,83.48,72,94,5.99,NG,1630064356
265,Oranjemund,-28.55,16.4333,55.17,60,88,13.67,NA,1630064357
266,Bathsheba,13.2167,-59.5167,82.72,75,48,18.57,BB,1630064357
267,Meulaboh,4.1363,96.1285,79.97,78,67,2.84,ID,1630064357
268,Khoy,38.5504,44.9535,94.12,15,0,4.34,IR,1630064358
269,Zhezkazgan,47.8043,67.7144,89.11,13,0,11.01,KZ,1630064358
270,San Cristobal,7.7669,-72.225,68.18,87,60,2.44,VE,1630064358
271,Maragogi,-9.0122,-35.2225,77.59,73,74,12.68,BR,1630064359
272,Longyearbyen,78.2186,15.6401,42.64,81,75,9.22,SJ,1630064359
273,Constitución,-35.3333,-72.4167,48.24,70,100,3.22,CL,1630064360
274,Atambua,-9.1061,124.8925,73.13,82,100,5.95,ID,1630064360
275,Beringovskiy,63.05,179.3167,47.98,75,100,9.95,RU,1630064360
276,Provideniya,64.3833,-173.3,41.45,76,55,5.93,RU,1630064361
277,Mattru,7.6244,-11.8332,80.85,82,96,4.23,SL,1630064361
278,Khatanga,71.9667,102.5,41.65,69,100,19.84,RU,1630064361
279,Tuy Hoa,13.0833,109.3,78.24,85,99,3.29,VN,1630064362
280,Merauke,-8.4667,140.3333,77.52,89,100,12.88,ID,1630064362
281,Panjāb,34.388,67.0233,73.42,11,5,9.06,AF,1630064362
282,Vendôme,47.8,1.0667,68.29,66,75,10.58,FR,1630064363
283,Port Hardy,50.6996,-127.4199,55.58,94,90,4.61,CA,1630064363
284,Mehamn,71.0357,27.8492,58.91,66,0,9.22,NO,1630064364
285,Olafsvik,64.8945,-23.7142,55.15,94,100,31.41,IS,1630064364
286,Bay Roberts,47.5999,-53.2648,62.33,88,48,5.99,CA,1630064364
